0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
6,1,1,0,1,1,17,0,0,0,4,0,3,1,0,0,7,4,0,0,0,2,5,1,2,0,0,1,0,7,0,144,1,0,0,1,1,1,0,3,0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,2,0,1,1,0,1,0,0,5,0,0,0,1,5,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,203,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,1,1,0,0,0,2,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,5,0,7,0,1,0,0,0,193,0,1,0,0,1,0,0,2,2,1,0,1,1,0,0,0,0,0,2,0,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1
0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,1,192,0,5,0,0,0,6,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,2,0,1,0,3,0,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,1,0,0,1
1,2,0,1,3,5,3,0,3,4,3,1,2,5,3,0,0,0,2,2,4,3,1,1,1,1,13,0,0,1,0,0,1,0,0,2,141,1,1,0,1,0,2,0,1,0,0,0,2,1,0,2,0,1,0,1,2,1,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,6,2,0,0,0
1,4,0,3,3,0,0,1,4,0,0,0,0,0,2,0,0,1,1,0,1,8,0,1,0,0,7,0,0,1,1,0,0,0,0,0,2,108,0,8,1,2,3,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,17,0,16,0,0,0,0,1,0,1,2,0,1,0,0,0,27,1,0,0,1,0,5,0
2,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,3,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,182,0,6,1,1,7,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,3,0,4,2,0,0,1,0,0,1,3,1,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2,1,1,1,1,5,1,0,11,1,2,2,2,0,3,1,6,8,0,1,4,1,6,1,0,0,5,0,1,0,1,2,0,0,1,7,0,10,0,69,0,2,4,0,0,1,4,1,0,1,6,0,0,2,0,0,0,2,3,1,1,0,0,1,1,2,0,2,0,0,0,0,0,10,2,0,2,16,0,0,1,1,1,1,1,1,2,8,0,0,0,0,1,2,1,1,0,2,1,5,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,207,0,1,6,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,3,1,0,0,0,0,191,1,0,0,0,1,2,0,3,0,0,0,0,5,0,0,0,0,5,3,0,4,0,1,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,4,0,0,0,0,7,0,8,0,0,0,2,0,2,0,1,1,2,0,3,2,0,2,0,0,2,1,2,0,0,1,0,0,1,1,0,0,1,0,0,0,147,0,0,0,1,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,5,1,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,2,1,0,3
1,0,0,1,0,0,0,1,0,0,3,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,164,2,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,3,3,0,0,0,2,1,12,1,6,12,0,0,1,0,0,0,2,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0
0,1,0,0,0,0,0,3,0,1,0,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,182,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,3,0,0,6,10,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,5,2,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,179,0,3,5,0,0,0,0,0,1,0,1,0,16,0,1,1,0,1,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,1,0
3,0,2,0,0,0,4,0,6,1,1,0,0,1,3,0,0,1,0,3,1,0,0,0,1,0,2,2,0,0,0,1,0,0,1,1,0,0,1,0,1,5,1,3,0,0,132,0,0,21,6,1,5,1,0,2,0,1,0,2,0,1,2,1,0,1,0,4,0,0,0,0,1,0,0,0,7,2,0,0,0,1,5,0,1,1,2,1,0,0,0,0,2,1,0,1,0,0,0,0,0
0,0,1,0,2,3,0,1,2,0,1,5,0,0,0,3,0,0,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,8,1,1,0,2,0,0,1,1,0,0,0,136,0,0,0,0,0,0,1,0,3,0,1,1,1,0,14,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,10,0,5,0,0,5,0,19,0,3,0,0,2,0,1,0,0,0,0
0,0,0,2,0,21,0,0,0,0,2,15,0,17,0,4,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,140,0,2,3,0,2,0,0,2,0,1,0,0,3,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,2,0,2,0,3,0,2,2,0,0,0,0,0,1,7,0,0,0,0
10,1,1,0,0,1,0,1,0,1,1,2,0,0,3,0,3,2,0,5,0,1,0,3,0,3,3,0,2,0,0,0,0,0,0,0,1,0,12,0,8,0,8,1,0,0,9,0,0,129,1,0,7,1,0,2,2,0,0,0,0,2,1,0,0,0,0,6,1,0,1,0,1,0,0,1,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
1,3,0,0,4,0,0,1,0,0,4,4,2,3,1,0,0,0,2,4,1,0,0,0,0,0,4,0,0,0,2,0,0,0,3,0,0,5,8,1,1,0,5,2,3,0,6,0,0,2,82,0,2,3,0,0,2,0,0,2,0,1,0,0,0,0,2,9,0,0,2,2,0,0,1,0,1,32,0,4,3,0,5,0,1,2,2,7,1,5,0,0,0,4,0,1,1,1,0,0,0
1,0,0,1,1,0,0,2,1,1,1,5,1,0,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,1,0,2,2,1,1,4,0,0,171,0,0,0,0,1,3,1,2,0,1,0,0,0,0,9,1,0,0,0,2,0,0,0,0,0,0,2,0,1,1,3,0,3,3,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
4,0,2,1,0,0,0,1,2,1,0,3,1,0,0,0,0,0,1,2,2,0,0,3,0,0,1,1,0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,2,0,0,2,1,0,4,0,1,165,0,0,2,0,0,0,0,0,1,2,0,0,0,2,4,0,0,3,1,1,0,1,0,0,0,0,1,0,1,1,0,0,5,0,1,0,2,0,0,4,0,0,1,0,2,0,0,0
2,0,2,0,1,1,0,0,0,3,2,0,0,1,0,0,1,2,0,2,2,0,0,0,1,7,1,0,4,0,0,0,0,0,4,0,1,1,6,1,4,0,0,1,0,0,0,0,0,3,2,0,0,131,0,5,0,2,0,1,0,0,1,5,0,2,0,1,5,0,0,0,5,0,1,0,1,2,0,0,23,0,0,2,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,217,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,0,0,1,0,1,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
